age_group,education,gender,nationality,electoral_district,unit,EKRE,Eesti 200,Hard to say,Isamaa,Keskerakond,Mitte ükski erakond,Other,Parempoolsed,Reformierakond,Rohelised,SDE,N
35-44,Secondary education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,2,1,0,1,0,2,0,0,4,0,1,11
35-44,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,1,0,0,2,0,0,0,0,4,0,0,7
35-44,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,0,2,0,1,0,0,0,0,1,0,1,5
35-44,Secondary education,Male,Estonian,Pärnumaa,Pärnumaa,2,1,2,2,0,2,0,0,1,0,1,11
35-44,Secondary education,Male,Estonian,Tartu linn,Tartu linn,3,0,1,0,1,3,1,0,4,0,0,13
35-44,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,1,0,1,0,1,0,0,0,0,0,0,3
35-44,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,1,0,0,0,0,1,0,0,1,0,0,3
35-44,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,0,0,1,1,0,0,0,0,0,0,0,2
35-44,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,0,0,1,0,1,0,0,0,0,0,1,3
35-44,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,0,0,0,0,2,0,0,0,0,0,0,2
35-44,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,0,0,1,0,1,3,0,0,0,1,1,7
35-44,Secondary education,Male,Other,Harju- ja Raplamaa,Harjumaa,1,0,0,0,1,0,1,0,0,0,0,3
35-44,Secondary education,Male,Other,Ida-Virumaa,Ida-Virumaa,0,1,1,0,4,3,0,0,0,0,2,11
35-44,Secondary education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,0,0,0,0,0,1,0,0,0,0,0,1
35-44,Secondary education,Male,Other,Jõgeva- ja Tartumaa,Tartumaa,0,1,0,0,0,0,0,0,0,0,0,1
35-44,Secondary education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,2,2,4,0,11,6,1,0,0,0,1,27
35-44,Secondary education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,1,0,1,0,0,0,0,0,0,0,0,2
35-44,Secondary education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,0,0,1,1,0,0,0,0,0,0,0,2
35-44,Secondary education,Male,Other,Mustamäe ja Nõmme,Mustamäe,0,0,2,0,3,0,0,0,0,0,0,5
35-44,Secondary education,Male,Other,Tartu linn,Tartu linn,1,0,0,0,1,1,0,0,0,0,1,4
45-54,Basic education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,0,0,0,0,1,1,0,0,1,0,1,4
45-54,Basic education,Female,Estonian,Harju- ja Raplamaa,Harjumaa,0,0,2,0,2,1,0,0,0,0,0,5
45-54,Basic education,Female,Estonian,Harju- ja Raplamaa,Raplamaa,1,0,0,0,0,1,0,0,0,0,0,2
45-54,Basic education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,0,0,1,0,0,0,0,0,0,0,0,1
45-54,Basic education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,0,0,1,0,0,0,0,0,0,0,1,2
45-54,Basic education,Female,Estonian,Järva- ja Viljandimaa,Järvamaa,0,0,2,0,0,2,0,0,0,0,0,4
45-54,Basic education,Female,Estonian,Järva- ja Viljandimaa,Viljandimaa,0,0,3,1,0,0,0,0,1,0,0,5
45-54,Basic education,Female,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,0,0,1,0,0,0,0,0,0,0,0,1
45-54,Basic education,Female,Estonian,Jõgeva- ja Tartumaa,Tartumaa,0,0,0,0,2,1,0,0,1,0,0,4
45-54,Basic education,Female,Estonian,Lääne-Virumaa,Lääne-Virumaa,1,0,0,0,0,0,1,0,0,0,0,2
45-54,Basic education,Female,Estonian,Mustamäe ja Nõmme,Mustamäe,0,0,0,0,0,2,0,0,0,0,0,2
45-54,Basic education,Female,Estonian,Mustamäe ja Nõmme,Nõmme,0,0,0,0,1,1,0,0,0,0,0,2
45-54,Basic education,Female,Estonian,Pärnumaa,Pärnumaa,1,0,1,0,0,1,0,0,0,0,0,3
45-54,Basic education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,0,0,0,0,0,1,0,0,0,0,0,1
45-54,Basic education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,0,0,0,0,0,1,0,0,0,0,0,1
45-54,Basic education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,0,0,0,0,1,0,0,0,0,0,0,1
45-54,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,1,0,0,0,0,1,0,0,0,0,0,2
45-54,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,1,0,0,0,0,1,0,0,0,0,0,2
45-54,Basic education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,0,0,0,0,0,0,0,0,2,0,0,2
45-54,Basic education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,0,0,0,1,0,0,0,0,0,0,0,1
45-54,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,1,0,0,0,0,0,0,0,0,0,0,1
45-54,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,0,0,1,0,0,0,0,0,1,0,0,2
45-54,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,0,1,0,0,0,0,0,0,0,0,0,1
45-54,Basic education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,1,0,1,1,0,0,0,0,0,0,0,3
45-54,Basic education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,1,0,0,2,1,0,0,0,1,1,0,6
45-54,Basic education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,1,0,1,1,1,0,0,0,0,0,0,4
45-54,Basic education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,0,0,0,0,0,0,0,0,1,0,0,1
45-54,Basic education,Male,Estonian,Pärnumaa,Pärnumaa,3,0,2,1,1,1,0,0,0,0,0,8
45-54,Basic education,Male,Estonian,Tartu linn,Tartu linn,1,0,0,0,0,1,0,0,1,0,0,3
45-54,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,1,0,0,0,0,1,0,0,0,0,0,2
45-54,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,1,0,1,0,0,0,0,0,0,0,0,2
45-54,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,0,0,0,0,1,0,0,1,0,0,0,2
45-54,Basic education,Male,Other,Pärnumaa,Pärnumaa,0,0,0,0,1,0,0,0,0,0,0,1
45-54,Higher education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,0,2,1,0,0,2,0,0,4,0,0,9
45-54,Higher education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,1,0,3,0,0,1,0,0,0,0,0,5
45-54,Higher education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,0,1,0,0,0,0,0,0,2,0,1,4
45-54,Higher education,Female,Estonian,Harju- ja Raplamaa,Harjumaa,0,2,2,1,1,4,0,1,15,1,2,29
45-54,Higher education,Female,Estonian,Harju- ja Raplamaa,Raplamaa,1,1,1,0,0,0,0,0,3,0,0,6
45-54,Higher education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,1,0,1,0,0,0,0,0,0,0,0,2
45-54,Higher education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,1,0,1,0,0,0,0,0,0,0,0,2
45-54,Higher education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,0,0,0,0,0,1,0,0,0,0,1,2
45-54,Higher education,Female,Estonian,Ida-Virumaa,Ida-Virumaa,0,1,0,0,0,0,0,0,1,0,0,2
45-54,Higher education,Female,Estonian,Järva- ja Viljandimaa,Järvamaa,0,0,0,0,0,0,0,0,2,0,0,2
45-54,Higher education,Female,Estonian,Järva- ja Viljandimaa,Viljandimaa,0,0,2,2,0,0,0,0,3,0,1,8
45-54,Higher education,Female,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,0,0,0,0,0,2,0,0,0,0,0,2
45-54,Higher education,Female,Estonian,Jõgeva- ja Tartumaa,Tartumaa,0,0,0,0,0,0,0,0,2,0,2,4
45-54,Higher education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,1,0,4,0,0,0,0,0,3,1,1,10
45-54,Higher education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,0,1,0,0,0,0,0,0,2,0,1,4
45-54,Higher education,Female,Estonian,Lääne-Virumaa,Lääne-Virumaa,0,0,2,0,0,0,0,0,2,0,0,4
45-54,Higher education,Female,Estonian,Mustamäe ja Nõmme,Mustamäe,2,0,0,1,0,0,0,0,3,0,2,8
45-54,Higher education,Female,Estonian,Mustamäe ja Nõmme,Nõmme,0,0,1,0,0,0,0,0,3,0,1,5
45-54,Higher education,Female,Estonian,Pärnumaa,Pärnumaa,1,0,1,0,0,2,0,0,3,0,0,7
45-54,Higher education,Female,Estonian,Tartu linn,Tartu linn,0,3,2,0,0,1,1,0,5,0,1,13
45-54,Higher education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,2,0,1,0,0,0,0,0,1,0,0,4
45-54,Higher education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,0,0,1,0,0,1,0,0,1,0,0,3
45-54,Higher education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,0,1,0,0,1,2,0,0,0,0,0,4
45-54,Higher education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,0,1,1,0,1,0,0,0,0,0,0,3
